Date,WY
1985-01-01,1.8322478532791138
1985-02-01,1.802932620048523
1985-03-01,1.6563529968261719
1985-04-01,1.6605485677719116
1985-05-01,1.7124385833740234
1985-06-01,1.7050272226333618
1985-07-01,1.7391765117645264
1985-08-01,1.716687560081482
1985-09-01,1.5892480611801147
1985-10-01,1.6017731428146362
1985-11-01,1.8750618696212769
1985-12-01,1.867470622062683
1986-01-01,2.002680540084839
1986-02-01,2.248220205307007
1986-03-01,2.363316774368286
1986-04-01,2.275681495666504
1986-05-01,2.2989025115966797
1986-06-01,2.159576654434204
1986-07-01,2.0567009449005127
1986-08-01,2.306943893432617
1986-09-01,2.1740028858184814
1986-10-01,2.4692516326904297
1986-11-01,2.4850282669067383
1986-12-01,2.3824729919433594
1987-01-01,3.0267434120178223
1987-02-01,3.312734842300415
1987-03-01,3.6066715717315674
1987-04-01,3.509654998779297
1987-05-01,3.1339075565338135
1987-06-01,3.213853597640991
1987-07-01,3.283999443054199
1987-08-01,3.549616813659668
1987-09-01,3.3564391136169434
1987-10-01,2.4488043785095215
1987-11-01,2.286094903945923
1987-12-01,2.5220260620117188
1988-01-01,2.498363494873047
1988-02-01,2.835313320159912
1988-03-01,2.547675132751465
1988-04-01,2.495234489440918
1988-05-01,2.4453303813934326
1988-06-01,2.7322824001312256
1988-07-01,2.5127601623535156
1988-08-01,2.462254047393799
1988-09-01,2.44962739944458
1988-10-01,2.491713047027588
1988-11-01,2.5428245067596436
1988-12-01,2.5683820247650146
1989-01-01,2.7916550636291504
1989-02-01,2.675335168838501
1989-03-01,2.7528812885284424
1989-04-01,3.055767297744751
1989-05-01,3.108003854751587
1989-06-01,2.886002779006958
1989-07-01,3.351616859436035
1989-08-01,3.312030553817749
1989-09-01,3.114100456237793
1989-10-01,2.907599449157715
1989-11-01,2.9209372997283936
1989-12-01,2.9476118087768555
1990-01-01,2.6330738067626953
1990-02-01,2.6330738067626953
1990-03-01,2.7951102256774902
1990-04-01,2.679218292236328
1990-05-01,2.9936161041259766
1990-06-01,2.7885735034942627
1990-07-01,2.671255350112915
1990-08-01,2.26987624168396
1990-09-01,2.214512348175049
1990-10-01,2.0404438972473145
1990-11-01,2.1952362060546875
1990-12-01,2.462604522705078
1991-01-01,2.6229164600372314
1991-02-01,2.637171506881714
1991-03-01,2.7512102127075195
1991-04-01,3.0709125995635986
1991-05-01,3.503434896469116
1991-06-01,3.0853304862976074
1991-07-01,3.2652878761291504
1991-08-01,3.2215585708618164
1991-09-01,3.236133337020874
1991-10-01,3.25644850730896
1991-11-01,2.7701902389526367
1991-12-01,3.2417125701904297
1992-01-01,3.601013422012329
1992-02-01,3.9730217456817627
1992-03-01,4.106942176818848
1992-04-01,4.24576473236084
1992-05-01,4.080735206604004
1992-06-01,4.110742568969727
1992-07-01,4.164328575134277
1992-08-01,4.103756904602051
1992-09-01,4.255189418792725
1992-10-01,4.474854469299316
