Date,FPI
2014-04-01,8.197970390319824
2014-05-01,7.68743371963501
2014-06-01,7.751519203186035
2014-07-01,6.994119644165039
2014-08-01,6.858022689819336
2014-09-01,6.570565700531006
2014-10-01,6.188275337219238
2014-11-01,6.62432336807251
2014-12-01,6.285028457641602
2015-01-01,6.4359660148620605
2015-02-01,6.768028736114502
2015-03-01,7.161075115203857
2015-04-01,7.252570629119873
2015-05-01,6.691397190093994
2015-06-01,7.336997032165527
2015-07-01,6.782098770141602
2015-08-01,6.5169782638549805
2015-09-01,6.557338714599609
2015-10-01,6.407453536987305
2015-11-01,7.113149166107178
2015-12-01,6.930997848510742
2016-01-01,6.608773231506348
2016-02-01,6.924679279327393
2016-03-01,6.86113166809082
2016-04-01,6.89949893951416
2016-05-01,7.142484188079834
2016-06-01,7.32177734375
2016-07-01,7.619308948516846
2016-08-01,7.535221576690674
2016-09-01,7.325845718383789
2016-10-01,6.959553241729736
2016-11-01,7.2669782638549805
2016-12-01,7.384223937988281
2017-01-01,7.516558647155762
2017-02-01,7.556257247924805
2017-03-01,7.478663444519043
2017-04-01,7.297890663146973
2017-05-01,6.514538764953613
2017-06-01,6.071868419647217
2017-07-01,6.065078258514404
2017-08-01,6.017534255981445
2017-09-01,6.228070259094238
2017-10-01,5.7526960372924805
2017-11-01,6.16606330871582
2017-12-01,6.068009853363037
2018-01-01,5.697497844696045
2018-02-01,5.257078170776367
2018-03-01,5.926031589508057
2018-04-01,5.4079484939575195
2018-05-01,6.039583683013916
2018-06-01,6.33570671081543
2018-07-01,4.852575778961182
2018-08-01,5.082966327667236
2018-09-01,4.860045909881592
2018-10-01,4.96885347366333
2018-11-01,4.497355937957764
2018-12-01,3.3296549320220947
2019-01-01,4.1143975257873535
2019-02-01,3.7696969509124756
2019-03-01,4.729617595672607
2019-04-01,4.8478569984436035
2019-05-01,4.574426174163818
2019-06-01,5.24729061126709
2019-07-01,4.577423572540283
2019-08-01,4.488108158111572
2019-09-01,5.01038122177124
2019-10-01,5.025383949279785
2019-11-01,5.002881050109863
2019-12-01,5.122453689575195
2020-01-01,4.895797252655029
2020-02-01,4.465147495269775
2020-03-01,4.623315334320068
2020-04-01,4.996531963348389
2020-05-01,5.25549840927124
2020-06-01,5.256468772888184
2020-07-01,5.302511215209961
2020-08-01,5.133688926696777
2020-09-01,5.149680137634277
2020-10-01,4.97957181930542
2020-11-01,6.1703386306762695
2020-12-01,6.766491889953613
2021-01-01,8.018682479858398
2021-02-01,9.301982879638672
2021-03-01,8.758009910583496
2021-04-01,10.414295196533203
2021-05-01,9.71115493774414
2021-06-01,9.45263671875
2021-07-01,9.88408374786377
2021-08-01,9.609525680541992
2021-09-01,9.444822311401367
2021-10-01,8.854032516479492
2021-11-01,9.129735946655273
2021-12-01,9.452701568603516
2022-01-01,9.009730339050293
2022-02-01,9.23121452331543
2022-03-01,10.91535472869873
2022-04-01,11.685386657714844
2022-05-01,11.92353630065918
2022-06-01,11.001501083374023
2022-07-01,11.830599784851074
2022-08-01,11.567520141601562
2022-09-01,10.147489547729492
2022-10-01,11.220705032348633
2022-11-01,10.636043548583984
2022-12-01,10.028016090393066
2023-01-01,10.366040229797363
2023-02-01,8.627635955810547
2023-03-01,8.661556243896484
2023-04-01,8.451090812683105
2023-05-01,9.187727928161621
2023-06-01,9.932943344116211
2023-07-01,9.347216606140137
2023-08-01,9.029947280883789
2023-09-01,8.395697593688965
2023-10-01,8.526623725891113
2023-11-01,10.13047981262207
2023-12-01,10.428470611572266
2024-01-01,9.37559700012207
2024-02-01,9.860255241394043
2024-03-01,9.326379776000977
2024-04-01,9.040709495544434
2024-05-01,9.12472915649414
2024-06-01,9.687671661376953
2024-07-01,8.969755172729492
2024-08-01,8.648801803588867
2024-09-01,8.826170921325684
2024-10-01,9.947494506835938
2024-11-01,10.796981811523438
2024-12-01,11.018479347229004
2025-01-01,10.990226745605469
2025-02-01,11.046731948852539
2025-03-01,10.500516891479492
2025-04-01,9.52526569366455
2025-05-01,10.718290328979492
2025-06-01,10.898192405700684
2025-07-01,9.96541976928711
2025-08-01,10.48891544342041
2025-09-01,10.355661392211914
2025-10-01,9.599564552307129
2025-11-01,9.417716979980469
2025-12-01,9.464003562927246
2026-01-01,11.40987491607666
2026-02-01,12.815225601196289
2026-03-01,11.03642463684082
2026-04-01,10.65005111694336
2026-05-01,10.174514770507812
2026-06-01,9.59000015258789
2026-07-01,9.350000381469727
2026-08-01,10.289999961853027
2026-09-01,10.699999809265137
