Date,ADN.TO
2008-07-01,3.0931553840637207
2008-08-01,2.881646156311035
2008-09-01,3.081855535507202
2008-10-01,2.2831549644470215
2008-11-01,1.9056907892227173
2008-12-01,2.1202423572540283
2009-01-01,1.9818898439407349
2009-02-01,1.8911080360412598
2009-03-01,2.0132791996002197
2009-04-01,2.354062795639038
2009-05-01,2.879340648651123
2009-06-01,2.8226306438446045
2009-07-01,2.7808830738067627
2009-08-01,2.887124538421631
2009-09-01,2.824131488800049
2009-10-01,2.831007957458496
2009-11-01,2.2640392780303955
2009-12-01,2.253392457962036
2010-01-01,2.3482983112335205
2010-02-01,2.4016692638397217
2010-03-01,2.6755659580230713
2010-04-01,2.632585287094116
2010-05-01,2.4248428344726562
2010-06-01,2.220257043838501
2010-07-01,2.4007654190063477
2010-08-01,2.1661040782928467
2010-09-01,2.2496798038482666
2010-10-01,2.5117781162261963
2010-11-01,2.4753761291503906
2010-12-01,2.7451016902923584
2011-01-01,3.254539966583252
2011-02-01,3.6466972827911377
2011-03-01,4.3845343589782715
2011-04-01,4.559914588928223
2011-05-01,4.414387226104736
2011-06-01,4.476828575134277
2011-07-01,4.161665916442871
2011-08-01,3.835111618041992
2011-09-01,3.835885763168335
2011-10-01,4.184604167938232
2011-11-01,3.8746337890625
2011-12-01,4.084831714630127
2012-01-01,4.369545936584473
2012-02-01,4.369545936584473
2012-03-01,4.522078514099121
2012-04-01,4.530132293701172
2012-05-01,4.55026912689209
2012-06-01,4.896416187286377
2012-07-01,4.937389850616455
2012-08-01,4.978365421295166
2012-09-01,5.269039630889893
2012-10-01,5.31069278717041
2012-11-01,5.8313469886779785
2012-12-01,6.042024612426758
2013-01-01,6.274413585662842
2013-02-01,5.809639930725098
2013-03-01,6.42556619644165
2013-04-01,6.104288101196289
2013-05-01,5.675915241241455
2013-06-01,5.782605171203613
2013-07-01,5.956516742706299
2013-08-01,5.391301155090332
2013-09-01,5.4779558181762695
2013-10-01,5.747655868530273
2013-11-01,5.402795791625977
2013-12-01,5.509705543518066
2014-01-01,5.936988353729248
2014-02-01,6.193357944488525
2014-03-01,5.939023494720459
2014-04-01,5.756285190582275
2014-05-01,5.619229793548584
2014-06-01,6.173130512237549
2014-07-01,6.12675142288208
2014-08-01,6.49315071105957
2014-09-01,6.3127241134643555
2014-10-01,6.713155746459961
2014-11-01,7.302028179168701
2014-12-01,7.2113213539123535
2015-01-01,7.559946537017822
2015-02-01,8.25242805480957
2015-03-01,8.777634620666504
2015-04-01,9.188709259033203
2015-05-01,9.188709259033203
2015-06-01,9.24964714050293
2015-07-01,9.352424621582031
2015-08-01,9.82698917388916
2015-09-01,9.93589973449707
2015-10-01,9.054693222045898
2015-11-01,10.119071006774902
2015-12-01,10.076080322265625
2016-01-01,9.018341064453125
2016-02-01,9.670028686523438
2016-03-01,10.257513999938965
2016-04-01,9.013405799865723
2016-05-01,8.642716407775879
2016-06-01,8.54945182800293
2016-07-01,9.307455062866211
2016-08-01,9.389963150024414
2016-09-01,9.460881233215332
2016-10-01,9.115897178649902
2016-11-01,9.147263526916504
2016-12-01,9.722877502441406
2017-01-01,9.18772029876709
2017-02-01,9.823551177978516
2017-03-01,9.885643005371094
2017-04-01,9.71890926361084
2017-05-01,9.751177787780762
2017-06-01,10.276411056518555
2017-07-01,10.041739463806152
2017-08-01,10.123601913452148
2017-09-01,10.708401679992676
2017-10-01,10.841219902038574
2017-11-01,10.431699752807617
2017-12-01,10.94633960723877
2018-01-01,10.660051345825195
2018-02-01,10.878978729248047
2018-03-01,10.938607215881348
2018-04-01,11.211930274963379
2018-05-01,11.035408020019531
2018-06-01,11.495646476745605
2018-07-01,11.611181259155273
2018-08-01,11.033514022827148
2018-09-01,10.686368942260742
2018-10-01,10.006007194519043
2018-11-01,8.791915893554688
2018-12-01,9.043632507324219
2019-01-01,10.508064270019531
2019-02-01,10.245065689086914
2019-03-01,9.896801948547363
2019-04-01,10.158363342285156
2019-05-01,9.939380645751953
2019-06-01,10.1930570602417
2019-07-01,10.409664154052734
2019-08-01,10.032148361206055
2019-09-01,10.710175514221191
2019-10-01,10.2946138381958
2019-11-01,10.496097564697266
2019-12-01,10.660133361816406
2020-01-01,10.519192695617676
2020-02-01,10.63450813293457
2020-03-01,8.358636856079102
2020-04-01,9.204334259033203
2020-05-01,9.046993255615234
2020-06-01,9.709524154663086
2020-07-01,10.819567680358887
2020-08-01,11.107109069824219
2020-09-01,11.066963195800781
2020-10-01,10.385919570922852
2020-11-01,10.719633102416992
2020-12-01,11.160246849060059
2021-01-01,11.375134468078613
2021-02-01,12.65752124786377
2021-03-01,13.720494270324707
2021-04-01,14.283380508422852
2021-05-01,13.220925331115723
2021-06-01,13.87570858001709
2021-07-01,12.540268898010254
2021-08-01,13.104439735412598
2021-09-01,13.588735580444336
2021-10-01,13.356698036193848
2021-11-01,12.798355102539062
2021-12-01,14.118399620056152
2022-01-01,13.985906600952148
2022-02-01,13.993265151977539
2022-03-01,14.234729766845703
2022-04-01,14.070340156555176
2022-05-01,13.93583869934082
2022-06-01,12.661587715148926
2022-07-01,12.919989585876465
2022-08-01,12.783186912536621
2022-09-01,12.381775856018066
2022-10-01,11.66982364654541
2022-11-01,12.087706565856934
2022-12-01,11.814492225646973
2023-01-01,12.777329444885254
2023-02-01,12.303802490234375
2023-03-01,12.67444133758545
2023-04-01,12.666403770446777
2023-05-01,13.220961570739746
2023-06-01,13.753220558166504
2023-07-01,13.73686695098877
2023-08-01,15.069670677185059
2023-09-01,14.404119491577148
2023-10-01,12.899707794189453
2023-11-01,13.45659065246582
2023-12-01,14.500275611877441
2024-01-01,13.713963508605957
2024-02-01,14.246627807617188
2024-03-01,14.94092845916748
2024-04-01,15.035490989685059
2024-05-01,15.069879531860352
2024-06-01,14.97751522064209
2024-07-01,15.851858139038086
2024-08-01,15.14364242553711
2024-09-01,15.503438949584961
2024-10-01,16.3657283782959
2024-11-01,15.761237144470215
2024-12-01,15.743902206420898
2025-01-01,15.581222534179688
2025-02-01,15.734865188598633
2025-03-01,16.025434494018555
2025-04-01,15.869224548339844
2025-05-01,16.5124454498291
2025-06-01,16.540313720703125
2025-07-01,16.773799896240234
2025-08-01,16.605690002441406
2025-09-01,15.608323097229004
2025-10-01,13.6133451461792
2025-11-01,14.895831108093262
2025-12-01,15.378946304321289
2026-01-01,15.58206558227539
2026-02-01,16.27846908569336
2026-03-01,16.842947006225586
2026-04-01,16.921653747558594
2026-05-01,17.27582550048828
2026-06-01,17.700000762939453
2026-07-01,17.860000610351562
2026-08-01,16.989999771118164
2026-09-01,17.670000076293945
