Date,LAND
2013-01-01,7.941517353057861
2013-02-01,8.202131271362305
2013-03-01,8.469124794006348
2013-04-01,9.065428733825684
2013-05-01,8.461432456970215
2013-06-01,9.436813354492188
2013-07-01,8.900019645690918
2013-08-01,9.33853816986084
2013-09-01,8.695873260498047
2013-10-01,9.29962158203125
2013-11-01,9.479471206665039
2013-12-01,9.635263442993164
2014-01-01,8.027944564819336
2014-02-01,7.645470142364502
2014-03-01,8.465309143066406
2014-04-01,7.278701305389404
2014-05-01,6.726080894470215
2014-06-01,7.834851264953613
2014-07-01,7.315995216369629
2014-08-01,7.490879058837891
2014-09-01,7.295375823974609
2014-10-01,6.828180313110352
2014-11-01,6.560004234313965
2014-12-01,6.557284832000732
2015-01-01,6.425289630889893
2015-02-01,7.347485065460205
2015-03-01,7.4568047523498535
2015-04-01,7.524590969085693
2015-05-01,6.965506553649902
2015-06-01,6.465647220611572
2015-07-01,6.295035362243652
2015-08-01,5.754279136657715
2015-09-01,5.810891151428223
2015-10-01,5.848109245300293
2015-11-01,6.0074920654296875
2015-12-01,5.548162937164307
2016-01-01,4.784855365753174
2016-02-01,5.509596347808838
2016-03-01,6.55562686920166
2016-04-01,6.777807712554932
2016-05-01,6.7116169929504395
2016-06-01,7.285126686096191
2016-07-01,7.589142799377441
2016-08-01,7.768955707550049
2016-09-01,7.051924228668213
2016-10-01,7.006991863250732
2016-11-01,7.32420539855957
2016-12-01,7.576681613922119
2017-01-01,8.15861988067627
2017-02-01,8.688785552978516
2017-03-01,7.563563823699951
2017-04-01,7.613653182983398
2017-05-01,7.70576286315918
2017-06-01,8.046231269836426
2017-07-01,8.367063522338867
2017-08-01,9.66463565826416
2017-09-01,9.487639427185059
2017-10-01,9.244829177856445
2017-11-01,9.393726348876953
2017-12-01,9.44646167755127
2018-01-01,8.983996391296387
2018-02-01,8.825221061706543
2018-03-01,8.585226058959961
2018-04-01,8.98576831817627
2018-05-01,9.131462097167969
2018-06-01,9.098430633544922
2018-07-01,8.563777923583984
2018-08-01,9.908714294433594
2018-09-01,8.956149101257324
2018-10-01,9.112264633178711
2018-11-01,9.662489891052246
2018-12-01,8.42126750946045
2019-01-01,8.895590782165527
2019-02-01,9.030497550964355
2019-03-01,9.381689071655273
2019-04-01,9.429471015930176
2019-05-01,9.260666847229004
2019-06-01,8.642067909240723
2019-07-01,8.645832061767578
2019-08-01,8.694493293762207
2019-09-01,9.019194602966309
2019-10-01,9.10293197631836
2019-11-01,9.687006950378418
2019-12-01,9.943280220031738
2020-01-01,10.177144050598145
2020-02-01,10.364311218261719
2020-03-01,9.186736106872559
2020-04-01,10.441049575805664
2020-05-01,11.320501327514648
2020-06-01,12.418234825134277
2020-07-01,12.6259126663208
2020-08-01,12.394338607788086
2020-09-01,11.862932205200195
2020-10-01,10.988994598388672
2020-11-01,11.562905311584473
2020-12-01,11.670570373535156
2021-01-01,12.582197189331055
2021-02-01,14.335542678833008
2021-03-01,14.698933601379395
2021-04-01,16.896169662475586
2021-05-01,18.653024673461914
2021-06-01,19.437618255615234
2021-07-01,18.875810623168945
2021-08-01,19.098669052124023
2021-09-01,18.503223419189453
2021-10-01,18.026424407958984
2021-11-01,23.298866271972656
2021-12-01,27.571361541748047
2022-01-01,24.928409576416016
2022-02-01,24.48185157775879
2022-03-01,29.86741828918457
2022-04-01,29.884002685546875
2022-05-01,22.076534271240234
2022-06-01,18.26515769958496
2022-07-01,22.38652229309082
2022-08-01,19.450780868530273
2022-09-01,15.009117126464844
2022-10-01,16.91546058654785
2022-11-01,17.111324310302734
2022-12-01,15.324774742126465
2023-01-01,16.356718063354492
2023-02-01,14.768750190734863
2023-03-01,14.01034927368164
2023-04-01,13.593315124511719
2023-05-01,13.380620002746582
2023-06-01,13.806777000427246
2023-07-01,14.244071006774902
2023-08-01,13.425079345703125
2023-09-01,12.182255744934082
2023-10-01,11.73283576965332
2023-11-01,12.364738464355469
2023-12-01,12.490097045898438
2024-01-01,12.281777381896973
2024-02-01,11.323771476745605
2024-03-01,11.653427124023438
2024-04-01,11.119014739990234
2024-05-01,11.879579544067383
2024-06-01,12.088737487792969
2024-07-01,13.154860496520996
2024-08-01,12.062326431274414
2024-09-01,12.396203994750977
2024-10-01,11.661413192749023
2024-11-01,10.790915489196777
2024-12-01,9.792454719543457
2025-01-01,9.84584903717041
2025-02-01,10.431758880615234
2025-03-01,9.617916107177734
2025-04-01,9.123268127441406
2025-05-01,9.12623405456543
2025-06-01,9.433300971984863
2025-07-01,8.572646141052246
2025-08-01,8.61780071258545
2025-09-01,8.624103546142578
2025-10-01,8.574684143066406
2025-11-01,8.854642868041992
2025-12-01,8.749248504638672
2026-01-01,10.712928771972656
2026-02-01,11.847391128540039
2026-03-01,9.884787559509277
2026-04-01,9.337394714355469
2026-05-01,9.27647590637207
2026-06-01,8.392791748046875
2026-07-01,8.023550987243652
2026-08-01,9.134246826171875
2026-09-01,9.489999771118164
