Date,RYN
1994-02-01,1.581178069114685
1994-03-01,1.3386304378509521
1994-04-01,1.3505829572677612
1994-05-01,1.3446069955825806
1994-06-01,1.3890858888626099
1994-07-01,1.4852992296218872
1994-08-01,1.599553108215332
1994-09-01,1.559612512588501
1994-10-01,1.4266222715377808
1994-11-01,1.3540821075439453
1994-12-01,1.4847452640533447
1995-01-01,1.3995548486709595
1995-02-01,1.460404872894287
1995-03-01,1.528403878211975
1995-04-01,1.6266144514083862
1995-05-01,1.6879956722259521
1995-06-01,1.7560102939605713
1995-07-01,1.9229543209075928
1995-08-01,1.904405117034912
1995-09-01,1.9477274417877197
1995-10-01,1.866830825805664
1995-11-01,1.9041674137115479
1995-12-01,1.672480821609497
1996-01-01,1.8165532350540161
1996-02-01,1.7163299322128296
1996-03-01,1.8318963050842285
1996-04-01,1.8129464387893677
1996-05-01,1.8950661420822144
1996-06-01,1.9352494478225708
1996-07-01,1.9543472528457642
1996-08-01,2.01800537109375
1996-09-01,2.039250135421753
1996-10-01,2.032837390899658
1996-11-01,1.9879487752914429
1996-12-01,1.983750820159912
1997-01-01,1.9320564270019531
1997-02-01,1.9643663167953491
1997-03-01,1.94081711769104
1997-04-01,2.1036369800567627
1997-05-01,2.2338931560516357
1997-06-01,2.2069578170776367
1997-07-01,2.4496243000030518
1997-08-01,2.5611202716827393
1997-09-01,2.5540237426757812
1997-10-01,2.3065412044525146
1997-11-01,2.580421209335327
1997-12-01,2.2611677646636963
1998-01-01,2.271127700805664
1998-02-01,2.251207113265991
1998-03-01,2.4439992904663086
1998-04-01,2.6813783645629883
1998-05-01,2.5108683109283447
1998-06-01,2.4772322177886963
1998-07-01,2.2719171047210693
1998-08-01,2.1002614498138428
1998-09-01,2.1176514625549316
1998-10-01,2.1278321743011475
1998-11-01,2.307697057723999
1998-12-01,2.5126774311065674
1999-01-01,2.406700849533081
1999-02-01,2.2391884326934814
1999-03-01,2.2081260681152344
1999-04-01,2.514714479446411
1999-05-01,2.569831609725952
1999-06-01,2.7637462615966797
1999-07-01,2.6389098167419434
1999-08-01,2.309479236602783
1999-09-01,2.3481483459472656
1999-10-01,2.292241096496582
1999-11-01,2.4844248294830322
1999-12-01,2.7226715087890625
2000-01-01,2.423283100128174
2000-02-01,2.2401275634765625
2000-03-01,2.7742748260498047
2000-04-01,2.671128988265991
2000-05-01,2.2905547618865967
2000-06-01,2.0603597164154053
2000-07-01,2.336749792098999
2000-08-01,2.3870015144348145
2000-09-01,2.081632375717163
2000-10-01,2.038191318511963
2000-11-01,2.067152500152588
2000-12-01,2.3284413814544678
2001-01-01,2.5072593688964844
2001-02-01,2.458716869354248
2001-03-01,2.4363455772399902
2001-04-01,2.5867745876312256
2001-05-01,2.6392762660980225
2001-06-01,2.7619128227233887
2001-07-01,2.7500216960906982
2001-08-01,2.7648861408233643
2001-09-01,2.424933671951294
2001-10-01,2.5633463859558105
2001-11-01,2.7401087284088135
2001-12-01,3.04775333404541
2002-01-01,3.004272937774658
2002-02-01,3.054394245147705
2002-03-01,3.240041494369507
2002-04-01,3.5678164958953857
2002-05-01,3.19382381439209
2002-06-01,3.0090816020965576
2002-07-01,3.0378684997558594
2002-08-01,2.9827451705932617
2002-09-01,2.587115526199341
2002-10-01,2.6037821769714355
2002-11-01,2.8556413650512695
2002-12-01,2.8162624835968018
2003-01-01,2.637639284133911
2003-02-01,2.6463539600372314
2003-03-01,2.7663707733154297
2003-04-01,3.1619272232055664
2003-05-01,3.2416651248931885
2003-06-01,3.1321616172790527
2003-07-01,3.305854082107544
2003-08-01,3.761441469192505
2003-09-01,3.879890203475952
2003-10-01,4.045148849487305
2003-11-01,4.234076499938965
2003-12-01,4.73992919921875
2004-01-01,4.51041316986084
2004-02-01,4.9169230461120605
2004-03-01,5.054607391357422
2004-04-01,4.509948253631592
2004-05-01,4.856865406036377
2004-06-01,5.207154750823975
