Date,^GSPTSE
1985-01-01,2588.510009765625
1985-02-01,2588.41015625
1985-03-01,2606.16455078125
1985-04-01,2628.60791015625
1985-05-01,2729.3515625
1985-06-01,2705.611572265625
1985-07-01,2771.5439453125
1985-08-01,2812.838623046875
1985-09-01,2625.615234375
1985-10-01,2668.0078125
1985-11-01,2849.9443359375
1985-12-01,2893.23388671875
1986-01-01,2835.7802734375
1986-02-01,2848.5478515625
1986-03-01,3039.5615234375
1986-04-01,3071.0810546875
1986-05-01,3114.07177734375
1986-06-01,3077.664306640625
1986-07-01,2927.845703125
1986-08-01,3020.510009765625
1986-09-01,2971.734130859375
1986-10-01,3031.1826171875
1986-11-01,3039.062744140625
1986-12-01,3058.41357421875
1987-01-01,3340.3955078125
1987-02-01,3490.014404296875
1987-03-01,3730.00390625
1987-04-01,3707.261474609375
1987-05-01,3675.841552734375
1987-06-01,3730.70166015625
1987-07-01,4020.1650390625
1987-08-01,3983.458740234375
1987-09-01,3892.48974609375
1987-10-01,3011.632568359375
1987-11-01,2970.73681640625
1987-12-01,3152.0751953125
1988-01-01,3049.436279296875
1988-02-01,3196.66162109375
1988-03-01,3305.384765625
1988-04-01,3331.31884765625
1988-05-01,3240.948974609375
1988-06-01,3432.760498046875
1988-07-01,3368.125
1988-08-01,3277.455810546875
1988-09-01,3275.361083984375
1988-10-01,3386.87744140625
1988-11-01,3286.333251953125
1988-12-01,3381.39111328125
1989-01-01,3607.415771484375
1989-02-01,3563.02880859375
1989-03-01,3569.113037109375
1989-04-01,3618.68701171875
1989-05-01,3697.9853515625
1989-06-01,3751.349365234375
1989-07-01,3960.71630859375
1989-08-01,4000.01611328125
1989-09-01,3932.98681640625
1989-10-01,3908.648681640625
1989-11-01,3932.787353515625
1989-12-01,3959.71875
1990-01-01,3694.99267578125
1990-02-01,3677.337646484375
1990-03-01,3630.257568359375
1990-04-01,3332.415771484375
1990-05-01,3572.903564453125
1990-06-01,3534.900146484375
1990-07-01,3552.056884765625
1990-08-01,3337.802001953125
1990-09-01,3151.376708984375
1990-10-01,3073.475341796875
1990-11-01,3142.997802734375
1990-12-01,3248.529296875
1991-01-01,3264.58837890625
1991-02-01,3453.607177734375
1991-03-01,3486.82275390625
1991-04-01,3459.9912109375
1991-05-01,3537.0947265625
1991-06-01,3464.191650390625
1991-07-01,3539.60009765625
1991-08-01,3517.89990234375
1991-09-01,3387.89990234375
1991-10-01,3515.800048828125
1991-11-01,3448.5
1991-12-01,3512.39990234375
1992-01-01,3596.10009765625
1992-02-01,3581.89990234375
1992-03-01,3412.10009765625
1992-04-01,3355.60009765625
1992-05-01,3387.89990234375
1992-06-01,3387.699951171875
1992-07-01,3443.39990234375
1992-08-01,3402.89990234375
1992-09-01,3297.89990234375
1992-10-01,3336.10009765625
1992-11-01,3282.800048828125
1992-12-01,3350.39990234375
1993-01-01,3305.5
1993-02-01,3451.699951171875
1993-03-01,3602.39990234375
1993-04-01,3789.39990234375
1993-05-01,3882.60009765625
1993-06-01,3966.39990234375
1993-07-01,3967.199951171875
1993-08-01,4137.60009765625
1993-09-01,3990.60009765625
1993-10-01,4255.5
1993-11-01,4180.2001953125
1993-12-01,4321.39990234375
1994-01-01,4554.89990234375
1994-02-01,4423.7998046875
1994-03-01,4329.60009765625
1994-04-01,4267.10009765625
1994-05-01,4326.7998046875
1994-06-01,4025.300048828125
1994-07-01,4179.0
1994-08-01,4349.5
1994-09-01,4354.2001953125
1994-10-01,4291.7001953125
1994-11-01,4093.39990234375
1994-12-01,4213.60009765625
1995-01-01,4017.5
1995-02-01,4124.7998046875
1995-03-01,4313.60009765625
1995-04-01,4279.5
1995-05-01,4448.60009765625
1995-06-01,4527.2001953125
1995-07-01,4615.10009765625
1995-08-01,4516.7001953125
1995-09-01,4529.7998046875
1995-10-01,4459.2001953125
1995-11-01,4661.2001953125
1995-12-01,4713.5
1996-01-01,4968.39990234375
1996-02-01,4933.7001953125
1996-03-01,4970.7998046875
1996-04-01,5146.5
1996-05-01,5246.39990234375
1996-06-01,5044.10009765625
1996-07-01,4929.2001953125
1996-08-01,5143.39990234375
1996-09-01,5291.10009765625
1996-10-01,5598.7998046875
1996-11-01,6016.7001953125
1996-12-01,5927.0
1997-01-01,6109.60009765625
1997-02-01,6157.7998046875
1997-03-01,5850.2001953125
1997-04-01,5976.60009765625
1997-05-01,6382.10009765625
1997-06-01,6437.7001953125
1997-07-01,6877.7001953125
1997-08-01,6611.7998046875
1997-09-01,7040.2001953125
1997-10-01,6842.39990234375
1997-11-01,6512.7998046875
1997-12-01,6699.39990234375
1998-01-01,6700.2001953125
